Intercept;Maximum_height;Leaf_area;Anemochoric;Zoochoric;Climax;Early_secondary;Late_secondary;Central_sa;Eastern_sa;Local_endemic;Neotropical;Pantropical;Regional_endemic;Sa;Southern_sa;Seed_length;Wood_density;Leaf_type
1;22.9;0.635452571;1;0;0;0;0;0;1;0;0;0;0;0;0;-0.154839922;0.54;1
1;7.9;1.139879086;1;0;0;0;0;0;0;0;0;0;0;1;0;-0.925000814;0.482333333;0
1;16.65;2.314219189;0;1;0;1;0;0;0;0;0;0;1;0;0;0.108091236;0.426;1
1;8.15;2.02542365;0;1;0;0;1;0;1;0;0;0;0;0;0;0.112554733;0.763;1
1;32;1.406527584;1;0;0;1;0;0;1;0;0;0;0;0;0;0.342442421;0.713571429;1
1;7.7;1.474873478;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.742801574;0.75;0
1;16.8;1.141988351;0;1;0;1;0;0;0;0;0;0;1;0;0;-0.823619308;0.687;0
1;19.37;1.509915782;0;1;0;0;1;0;1;0;0;0;0;0;0;-0.70863115;0.845;0
1;20;1.717911527;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.522734005;0.651;0
1;5.6;0.876965093;1;0;0;0;0;0;0;0;0;0;0;1;0;-0.221776373;0.6969;0
1;15.4;1.689821845;0;0;0;0;0;0;1;0;0;0;0;0;0;0.041432165;0.62;0
1;16.1;1.675167053;0;0;0;1;0;0;0;0;0;0;0;1;0;-0.019951155;0.708625;0
1;10.6;1.769533042;0;0;0;1;0;0;1;0;0;0;0;0;0;0.090116911;0.665;0
1;23;1.538147565;0;0;0;1;0;0;0;0;1;0;0;0;0;-0.221776373;0.94;0
1;31;1.537307011;0;1;0;0;1;0;0;0;0;0;1;0;0;0.788175444;0.61;0
1;22.3;0.844163257;0;1;0;0;1;0;0;0;0;0;0;1;0;-0.310602337;0.736;0
1;11.8;0.937517892;1;0;0;0;1;0;1;0;0;0;0;0;0;-0.275642196;0.505;0
1;20;0.843233775;1;0;0;1;0;0;0;0;0;0;0;1;0;-0.292344676;0.8804;1
1;18.5;1.605489347;0;1;0;1;0;0;0;0;0;0;0;1;0;0.342442421;0.6275;0
1;27.4;1.800885762;0;1;0;0;1;0;1;0;0;0;0;0;0;0.177276711;0.560411779;0
1;30;1.363718622;0;1;0;1;0;0;0;0;1;0;0;0;0;0.15839265;0.777736842;0
1;31.25;1.796944182;0;1;1;0;0;0;0;0;1;0;0;0;0;0.174960623;0.649125;0
1;32.25;1.488230953;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.055467979;0.824;0
1;25.6;1.314219189;0;1;1;0;0;0;1;0;0;0;0;0;0;0.269536293;0.755;0
1;23.5;1.970636843;0;1;0;1;0;0;0;0;0;0;0;1;0;0.269536293;0.618;0
1;5.8;1.936482567;0;1;0;0;0;0;1;0;0;0;0;0;0;0.361746718;0.6;1
1;9.9;1.770151145;0;1;0;1;0;0;0;0;0;0;1;0;0;0.176120211;0.6;0
1;12;1.564417519;0;1;0;0;0;0;0;0;1;0;0;0;0;-0.011485634;0.618;0
1;23.5;1.75009679;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.011485634;0.58;0
1;22.4;1.819369167;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.292344676;0.6555;0
1;23.564;1.422393292;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.011485634;0.470653598;0
1;6.16;1.981894458;0;1;0;0;1;0;1;0;0;0;0;0;0;-0.011485634;0.56;0
1;18.9;1.406973242;0;1;0;0;0;0;0;0;0;0;0;1;0;-0.221776373;0.763333333;0
1;6.35;2.268461699;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.011485634;0.574666667;0
1;29.4;1.603085517;0;1;0;1;0;0;0;0;1;0;0;0;0;0.047962443;0.511900198;1
1;15;-1.207283027;0;0;0;0;1;0;1;0;0;0;0;0;0;-0.045709238;0.883333333;1
1;7;-1.70697011;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.083493413;0.85;1
1;17.1;1.613176176;1;0;0;0;1;0;0;0;0;0;0;1;0;0.30105171;0.720666667;0
1;19.6;0.553895962;1;0;0;1;0;0;1;0;0;0;0;0;0;-0.070529984;0.71575;0
1;22.9;-0.229848855;1;0;0;0;1;0;0;0;0;0;1;0;0;-0.113452877;0.6;0
1;25;1.531293286;0;1;0;1;0;0;0;0;1;0;0;0;0;0.301774895;0.608861215;0
1;18.8;1.819369167;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.267525823;0.6695;0
1;20;1.142946591;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.298777516;0.676666667;0
1;25;1.86636573;0;1;0;0;1;0;1;0;0;0;0;0;0;-0.124880835;0.74;0
1;6.8;2.044308994;0;1;1;0;0;0;0;0;0;0;1;0;0;-0.070529984;0.702898141;0
1;20;1.46487587;0;1;0;0;1;0;0;0;1;0;0;0;0;-0.470313046;0.775286989;0
1;24.9;1.448365928;0;1;1;0;0;0;1;0;0;0;0;0;0;-0.233512794;0.702898141;0
1;16.4;1.25027791;0;1;0;0;0;0;0;0;0;0;1;0;0;-0.124880835;0.82;0
1;8;0.693855587;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.425852936;0.84;0
1;20;1.505132678;0;1;0;0;1;0;1;0;0;0;0;0;0;-0.134639356;0.685302188;0
1;16.5;1.586944631;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.070529984;0.643333333;0
1;16;1.751818772;0;1;0;0;1;0;0;0;0;0;1;0;0;0.102124856;0.76;0
1;14.4;1.692703612;0;1;0;0;0;0;1;0;0;0;0;0;0;0.041432165;0.72043635;0
1;20;1.137488894;0;1;0;0;1;0;1;0;0;0;0;0;0;-0.191181575;0.709766667;0
1;13.8;1.651440676;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.09685573;0.6725;0
1;40;1.448450132;1;0;0;0;1;0;0;0;0;0;0;1;0;0.334976199;0.6108;0
1;40;1.029027774;1;0;0;0;1;0;1;0;0;0;0;0;0;0.414990051;0.4926;0
1;11.2;2.213544531;0;1;0;1;0;0;1;0;0;0;0;0;0;0.623259631;0.710571429;1
1;15.2;1.215876895;0;1;0;0;0;0;0;0;1;0;0;0;0;-0.346690987;0.61;0
