x;y;ecoreg
-48.806349;-27.551462;2
-48.806349;-27.551462;2
-50.286389;-27.483333;2
-49.416187;-28.953219;9
-49.075718;-26.922112;9
-49.074222;-26.921661;9
-48.890459;-27.098791;9
-49.432465;-28.690159;9
-53.524147;-26.9366;10
-52.784722;-27.107778;10
-48.936193;-26.809054;9
-48.941732;-26.807046;9
-53.62987;-27.189614;10
-50.18894;-27.861022;2
-50.318436;-27.851008;2
-50.350576;-27.791303;2
-50.113035;-27.813865;2
-50.738391;-26.82794;2
-49.733186;-28.683663;2
-51.187581;-27.588423;2
-49.317888;-28.306022;9
-49.826009;-27.650423;2
-50.049608;-27.93075;2
-51.979167;-26.821111;2
-53.065833;-26.875833;10
-49.738811;-28.340127;2
-49.574428;-28.597833;9
-49.405765;-28.584006;9
-49.404729;-28.582962;9
-49.518333;-28.592222;9
-53.575556;-27.101111;10
-49.833333;-28.733333;2
-49.625008;-28.076921;2
-49.866911;-27.921369;2
-48.638743;-26.074699;9
-48.670767;-26.071833;9
-48.643972;-26.093114;9
-37.504953;-11.073077;7
-49.057292;-22.4864835;1
-46.2858;-23.7689;9
-46.2833;-23.7694;9
-48.378274;-23.40746;1
-44.36611;-22.806676;9
-49.081931;-22.231548;1
-48.992774;-22.336937;6
-48.277222;-23.038889;1
-48.394047;-22.814682;1
-48.306667;-22.737222;6
-46.6081;-21.5671;1
-47.109603;-22.821541;1
-47.081551;-22.918484;1
-47.068666;-22.862924;1
-46.927136;-22.832954;1
-46.929882;-22.83211;1
-46.934895;-22.826777;1
-46.940209;-22.752089;1
-47.11008633;-22.827439;1
-47.933022;-24.887337;9
-45.53154;-23.634877;9
-45.450098;-23.640942;9
-45.545569;-23.588799;9
-49.018285;-24.46513;2
-46.98403375;-23.72724208;9
-50.378056;-22.595556;6
-50.383412;-22.602533;6
-50.381627;-22.594748;6
-50.37215;-22.581682;6
-50.385511;-22.56685;6
-49.701147;-22.411236;1
-49.70147;-22.418195;1
-49.708334;-22.394397;1
-49.683361;-22.381833;1
-49.688616;-22.408783;1
-49.685434;-22.413951;1
-49.535873;-19.9573;1
-47.237847;-24.549215;9
-47.792391;-24.901951;9
-47.62604;-23.4321315;1
-47.721869;-22.415345;1
-46.735042;-23.02193;9
-48.648402;-23.295241;1
-47.77558;-21.606083;6
-46.637861;-23.417031;9
-48.529772;-21.6087405;1
-48.537222;-21.620556;1
-46.19832091;-23.49590966;9
-47.87676275;-24.65188258;9
-47.783123;-24.641688;9
-47.925;-24.181361;9
-47.972686;-24.166173;9
-47.971617;-24.068723;9
-45.46331;-22.691958;9
-45.47588333;-22.6951905;9
-48.066667;-24.233333;9
-48.082059;-24.232154;9
-47.934047;-25.076861;9
-47.92396;-25.073019;9
-47.924593;-25.07824;9
-52.338032;-22.587019;1
-45.140536;-23.322493;9
-44.85182;-23.358326;9
-44.851572;-23.356232;9
-44.835556;-23.336944;9
-44.83494;-23.336182;9
-44.833333;-23.335833;9
-44.832222;-23.334167;9
-45.078889;-23.381389;9
-45.080833;-23.373889;9
-45.078611;-23.381111;9
-45.083611;-23.366944;9
-45.083889;-23.366389;9
-45.068611;-23.325278;9
-45.072778;-23.343333;9
-45.109778;-23.360028;9
-48.888526;-21.213705;1
-47.62426;-22.712438;1
-47.473192;-21.938865;6
-47.85164285;-21.22192341;1
-47.850095;-21.224153;1
-47.10987267;-23.52773733;9
-47.843599;-21.964232;1
-46.679032;-23.729205;9
-46.571745;-22.547368;9
-47.484992;-23.39414;1
-48.401438;-24.643302;9
-49.926111;-20.921111;1
-47.596855;-21.721158;1
-49.686787;-10.892419;6
-48.179678;-10.188271;6
-48.356333;-12.277996;6
-46.409167;-12.576389;6
